,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
INDIVIDUALS,"116,062,931,390","107,955,970,047","76,559,498,693","88,479,239,517","73,088,974,902","65,307,660,290","61,864,904,381","71,307,842,033","81,947,172,488","131,330,844,017","184,840,370,458","203,488,871,385"
COMPANIES,"7,230,809,705","7,605,632,248","6,899,271,763","9,237,206,386","9,450,506,531","7,370,504,499","6,082,950,118","7,932,009,202","5,665,578,867","12,009,547,794","11,739,251,790","14,071,969,641"
BANKS / DFI,"3,021,759,974","5,404,562,280","4,580,162,935","4,685,799,564","6,090,951,455","6,606,200,085","2,708,204,595","4,409,441,400","4,997,420,109","5,362,308,530","7,045,535,078","15,089,177,769"
NBFC,"413,307,496","390,513,130","339,442,721","187,411,583","759,153,149","151,245,080","49,779,598","106,610,277","480,782,246","402,432,495","461,790,693","942,593,554"
MUTUAL FUNDS,"16,486,621,547","10,420,983,510","7,319,881,746","8,566,970,427","9,680,728,836","4,210,698,914","4,008,174,113","4,786,548,426","7,785,675,480","10,406,356,313","19,990,014,314","20,803,309,374"
OTHER ORGANIZATION,"2,976,752,657","2,275,179,713","1,519,567,508","1,670,645,468","2,538,759,368","1,368,324,647","884,211,371","1,663,204,474","3,291,560,145","2,839,273,533","3,082,243,647","2,569,813,231"
BROKER PROPRIETARY TRADING,"37,739,544,687","31,546,247,722","24,533,601,364","29,508,217,121","21,386,478,756","20,402,727,155","19,761,667,383","23,002,973,808","27,543,562,229","41,256,406,053","61,694,149,653","64,738,884,418"
INSURANCE COMPANIES,"6,633,801,845","7,369,202,986","7,004,940,340","6,084,455,802","7,634,528,574","4,622,506,237","3,117,848,247","2,313,863,125","2,086,927,176","4,139,150,889","7,495,840,176","11,743,380,820"
LIPI NET,"190,565,529,300","172,968,291,637","128,756,367,070","148,419,945,868","130,630,081,571","110,039,866,907","98,477,739,807","115,522,492,745","133,798,678,740","207,746,319,623","296,349,195,809","333,448,000,191"
,,,,,,,,,,,,
,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December
Individual Gross Buying 2019,60.90447303,62.41373435,59.46074779,59.61411655,55.95110561,59.34909058,62.8212066,61.72637063,61.24662311,63.21692931,62.3724893,61.02566855
Individual Gross Buying 2020,60.58970668,57.99768814,59.54899308,68.65039259,69.76307712,63.43340126,69.31123575,70.22462766,69.84835383,68.71583114,68.5740316,68.55823632
